,Manufacturer Identification Number,Model Identification Numer,No. Of Driving Axles,max. Length,max. Width,max. Height,max. Gross Vehicle Weight,Manufacturer,Commercial Name,Type,Wheelbase,Power/Weight Ratio,Seats,Fuel Code,max. Top Speed,Fuel Type
335,5,ALK,1.0,4527.0,1817.0,1418.0,2000,BMW,3er Reihe,390L,2760.0,0.06907894736842106,5.0,1,210.0,PETROL
336,5,ALL,1.0,4527.0,1817.0,1418.0,2000,BMW,3er Reihe,390L,2760.0,0.06578947368421052,5.0,1,210.0,PETROL
337,5,ALM,1.0,4527.0,1817.0,1418.0,2000,BMW,3er Reihe,390L,2760.0,0.08223684210526316,5.0,1,226.0,PETROL
338,5,ALN,1.0,4527.0,1817.0,1418.0,2000,BMW,3er Reihe,390L,2760.0,0.07894736842105263,5.0,1,223.0,PETROL
339,5,ALO,1.0,4527.0,1817.0,1418.0,2080,BMW,3er Reihe,390L,2760.0,0.10062893081761007,5.0,1,248.0,PETROL
340,5,ALP,1.0,4527.0,1817.0,1418.0,2080,BMW,3er Reihe,390L,2760.0,0.09748427672955975,5.0,1,246.0,PETROL
344,5,ALT,2.0,4580.0,1782.0,1395.0,2030,BMW,3er Reihe,390X,2760.0,0.09907120743034056,4.0,1,246.0,PETROL
345,5,ALU,2.0,4580.0,1782.0,1395.0,2130,BMW,3er Reihe,390X,2760.0,0.13100436681222707,4.0,1,250.0,PETROL
346,5,ALV,2.0,4531.0,1817.0,1421.0,2080,BMW,3er Reihe,390X,2760.0,0.09846153846153846,5.0,1,244.0,PETROL
347,5,ALW,2.0,4531.0,1817.0,1421.0,2115,BMW,3er Reihe,390X,2760.0,0.12030075187969924,5.0,1,250.0,PETROL
348,5,ALX,2.0,4527.0,1817.0,1418.0,2200,BMW,3er Reihe,390X,2760.0,0.0927536231884058,5.0,1,242.0,PETROL
349,5,ALY,2.0,4527.0,1817.0,1418.0,2200,BMW,3er Reihe,390X,2760.0,0.11594202898550725,5.0,1,250.0,PETROL
350,5,ALZ,1.0,3714.0,1683.0,1407.0,1605,MINI,MINI,MINI-N,2467.0,0.11581108829568788,4.0,1,232.0,PETROL
351,5,AMA,2.0,4877.0,1983.0,1690.0,2720,BMW,X Reihe,X70,2933.0,0.1048951048951049,4.0,1,240.0,PETROL
352,5,AMB,2.0,4877.0,1983.0,1690.0,2840,BMW,X Reihe,X70,2933.0,0.13245033112582782,4.0,1,250.0,PETROL
353,5,AMC,1.0,4841.0,1846.0,1468.0,2030,BMW,5er Reihe,560L,2888.0,0.07419354838709677,5.0,1,219.0,PETROL
